match_id,id,season,date,venue,city,toss_winner,toss_decision,winner,team1,team2
1082591,1082591,2017,2017/04/05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
1082592,1082592,2017,2017/04/06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians
1082593,1082593,2017,2017/04/07,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders
1082594,1082594,2017,2017/04/08,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,Kings XI Punjab,Kings XI Punjab,Rising Pune Supergiant
1082595,1082595,2017,2017/04/08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils
1082596,1082596,2017,2017/04/09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions
1082597,1082597,2017,2017/04/09,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders
1082598,1082598,2017,2017/04/10,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore
1082599,1082599,2017,2017/04/11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils
1082600,1082600,2017,2017/04/12,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad
1082601,1082601,2017,2017/04/13,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab
1082602,1082602,2017,2017/04/14,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
1082603,1082603,2017,2017/04/14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant
1082604,1082604,2017,2017/04/15,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad
1082605,1082605,2017,2017/04/15,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab
1082606,1082606,2017,2017/04/16,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,Mumbai Indians,Gujarat Lions
1082607,1082607,2017,2017/04/16,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
1082608,1082608,2017,2017/04/17,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
1082609,1082609,2017,2017/04/17,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab
1082610,1082610,2017,2017/04/18,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
1082611,1082611,2017,2017/04/19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils
1082612,1082612,2017,2017/04/20,Holkar Cricket Stadium,Indore,Mumbai Indians,field,Mumbai Indians,Kings XI Punjab,Mumbai Indians
1082613,1082613,2017,2017/04/21,Eden Gardens,Kolkata,Gujarat Lions,field,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
1082614,1082614,2017,2017/04/22,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,Delhi Daredevils
1082615,1082615,2017,2017/04/22,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,Rising Pune Supergiant,Sunrisers Hyderabad
1082616,1082616,2017,2017/04/23,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Kings XI Punjab,Gujarat Lions,Kings XI Punjab
1082617,1082617,2017,2017/04/23,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore
1082618,1082618,2017,2017/04/24,Wankhede Stadium,Mumbai,Mumbai Indians,field,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
1082620,1082620,2017,2017/04/26,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,field,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders
1082621,1082621,2017,2017/04/27,M Chinnaswamy Stadium,Bangalore,Gujarat Lions,field,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
1082622,1082622,2017,2017/04/28,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils
1082623,1082623,2017,2017/04/28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
1082624,1082624,2017,2017/04/29,Maharashtra Cricket Association Stadium,Pune,Royal Challengers Bangalore,field,Rising Pune Supergiant,Rising Pune Supergiant,Royal Challengers Bangalore
1082625,1082625,2017,2017/04/29,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,bat,,Gujarat Lions,Mumbai Indians
1082626,1082626,2017,2017/04/30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils
1082627,1082627,2017,2017/04/30,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
